--eccb627--2024-12-17--hassanibrahem
--4db83f5--2024-12-17--hassanibrahem
-	-	.DS_Store
12	0	cert/adminsdk.json
12	0	src/main/resources/cert/adminsdk.json

--db0da6c--2024-12-16--hassanibrahem
0	115	.gitlab-ci.yml
0	32	src/main/java/com/charity_hub/api/AuthController.java
0	6	src/main/java/com/charity_hub/application/Authenticate.java
0	87	src/main/java/com/charity_hub/application/AuthenticateHandler.java
0	4	src/main/java/com/charity_hub/application/AuthenticateResponse.java
58	0	src/main/java/com/charity_hub/core/exceptions/AppException.java
11	0	src/main/java/com/charity_hub/core/exceptions/DomainException.java
12	0	src/main/java/com/charity_hub/core/exceptions/InvalidAmountException.java
12	0	src/main/java/com/charity_hub/core/inputports/AccountsServicePort.java
102	0	src/main/java/com/charity_hub/core/models/account/Account.java
10	0	src/main/java/com/charity_hub/core/models/account/AccountId.java
17	0	src/main/java/com/charity_hub/core/models/account/FullName.java
27	0	src/main/java/com/charity_hub/core/models/account/MobileNumber.java
22	0	src/main/java/com/charity_hub/core/models/account/Permission.java
24	0	src/main/java/com/charity_hub/core/models/account/PhotoUrl.java
4	0	src/main/java/com/charity_hub/core/models/account/Tokens.java
75	0	src/main/java/com/charity_hub/core/models/device/Device.java
17	0	src/main/java/com/charity_hub/core/models/device/DeviceId.java
14	0	src/main/java/com/charity_hub/core/models/device/DeviceType.java
43	0	src/main/java/com/charity_hub/core/models/device/FCMToken.java
43	0	src/main/java/com/charity_hub/core/models/device/RefreshToken.java
59	0	src/main/java/com/charity_hub/core/models/invitation/Invitation.java
13	0	src/main/java/com/charity_hub/core/outputports/IAccountRepo.java
7	0	src/main/java/com/charity_hub/core/outputports/IAuthProvider.java
9	0	src/main/java/com/charity_hub/core/outputports/IInvitationRepo.java
10	0	src/main/java/com/charity_hub/core/outputports/IJWTGenerator.java
6	0	src/main/java/com/charity_hub/core/outputports/ILogger.java
87	0	src/main/java/com/charity_hub/core/services/AccountsService.java
4	0	src/main/java/com/charity_hub/core/services/Authenticate.java
4	0	src/main/java/com/charity_hub/core/services/AuthenticateResponse.java
26	0	src/main/java/com/charity_hub/core/validators/ValueValidator.java
0	13	src/main/java/com/charity_hub/domain/contracts/IAccountRepo.java
0	7	src/main/java/com/charity_hub/domain/contracts/IAuthProvider.java
0	9	src/main/java/com/charity_hub/domain/contracts/IInvitationRepo.java
0	10	src/main/java/com/charity_hub/domain/contracts/IJWTGenerator.java
0	21	src/main/java/com/charity_hub/domain/events/AccountAuthenticated.java
0	16	src/main/java/com/charity_hub/domain/events/AccountCreated.java
0	6	src/main/java/com/charity_hub/domain/events/AccountEvent.java
0	110	src/main/java/com/charity_hub/domain/model/account/Account.java
0	13	src/main/java/com/charity_hub/domain/model/account/AccountId.java
0	17	src/main/java/com/charity_hub/domain/model/account/FullName.java
0	27	src/main/java/com/charity_hub/domain/model/account/MobileNumber.java
0	24	src/main/java/com/charity_hub/domain/model/account/PhotoUrl.java
0	4	src/main/java/com/charity_hub/domain/model/account/Tokens.java
0	77	src/main/java/com/charity_hub/domain/model/device/Device.java
0	18	src/main/java/com/charity_hub/domain/model/device/DeviceId.java
0	14	src/main/java/com/charity_hub/domain/model/device/DeviceType.java
0	43	src/main/java/com/charity_hub/domain/model/device/FCMToken.java
0	43	src/main/java/com/charity_hub/domain/model/device/RefreshToken.java
0	59	src/main/java/com/charity_hub/domain/model/invitation/Invitation.java
0	56	src/main/java/com/charity_hub/infrastructure/db/AccountEntity.java
0	30	src/main/java/com/charity_hub/infrastructure/db/DeviceEntity.java
0	4	src/main/java/com/charity_hub/infrastructure/db/InvitationEntity.java
0	5	src/main/java/com/charity_hub/infrastructure/db/MemberEntity.java
0	4	src/main/java/com/charity_hub/infrastructure/db/RevokedAccountEntity.java
0	12	src/main/java/com/charity_hub/infrastructure/dtos/AccountAuthenticatedDto.java
0	7	src/main/java/com/charity_hub/infrastructure/dtos/AccountCreatedDTO.java
0	28	src/main/java/com/charity_hub/infrastructure/dtos/AccountEventDto.java
0	51	src/main/java/com/charity_hub/infrastructure/mappers/TokenMapper.java
0	70	src/main/java/com/charity_hub/infrastructure/repositories/AccountRepo.java
0	29	src/main/java/com/charity_hub/infrastructure/repositories/InvitationRepo.java
0	67	src/main/java/com/charity_hub/infrastructure/services/JwtGenerator.java
0	52	src/main/java/com/charity_hub/infrastructure/services/firebase/FirebaseAuthProvider.java
0	34	src/main/java/com/charity_hub/infrastructure/services/firebase/FirebaseAuthProviderStub.java
0	50	src/main/java/com/charity_hub/infrastructure/services/firebase/FirebaseConfig.java
0	11	src/main/java/com/charity_hub/shared/ModuleMetadata.java
0	3	src/main/java/com/charity_hub/shared/abstractions/Command.java
0	12	src/main/java/com/charity_hub/shared/abstractions/CommandHandler.java
0	8	src/main/java/com/charity_hub/shared/abstractions/DefaultResponse.java
0	3	src/main/java/com/charity_hub/shared/abstractions/Query.java
0	7	src/main/java/com/charity_hub/shared/abstractions/QueryHandler.java
0	3	src/main/java/com/charity_hub/shared/abstractions/Request.java
0	25	src/main/java/com/charity_hub/shared/api/DeferredResults.java
0	52	src/main/java/com/charity_hub/shared/api/GlobalExceptionHandler.java
0	127	src/main/java/com/charity_hub/shared/api/auth/AccessTokenPayload.java
0	43	src/main/java/com/charity_hub/shared/api/auth/JWTPayload.java
0	83	src/main/java/com/charity_hub/shared/api/auth/JwtAuthFilter.java
0	40	src/main/java/com/charity_hub/shared/api/auth/JwtVerifier.java
0	77	src/main/java/com/charity_hub/shared/api/auth/RefreshTokenPayload.java
0	62	src/main/java/com/charity_hub/shared/api/auth/SecurityConfig.java
0	55	src/main/java/com/charity_hub/shared/domain/EventBus.java
0	16	src/main/java/com/charity_hub/shared/domain/IEventBus.java
0	6	src/main/java/com/charity_hub/shared/domain/ILogger.java
0	14	src/main/java/com/charity_hub/shared/domain/exceptions/InvalidAmountException.java
0	82	src/main/java/com/charity_hub/shared/domain/extension/AsyncUtils.java
0	26	src/main/java/com/charity_hub/shared/domain/extension/ValueValidator.java
0	28	src/main/java/com/charity_hub/shared/domain/model/AggregateRoot.java
0	49	src/main/java/com/charity_hub/shared/domain/model/Amount.java
0	6	src/main/java/com/charity_hub/shared/domain/model/AmountType.java
0	3	src/main/java/com/charity_hub/shared/domain/model/DomainEvent.java
0	4	src/main/java/com/charity_hub/shared/domain/model/DomainModel.java
0	59	src/main/java/com/charity_hub/shared/domain/model/Entity.java
0	9	src/main/java/com/charity_hub/shared/domain/model/Pair.java
0	22	src/main/java/com/charity_hub/shared/domain/model/Permission.java
0	4	src/main/java/com/charity_hub/shared/domain/model/ValueObject.java
0	58	src/main/java/com/charity_hub/shared/exceptions/AppException.java
0	11	src/main/java/com/charity_hub/shared/exceptions/DomainException.java
0	83	src/main/java/com/charity_hub/shared/infrastructure/FCMService.java
0	21	src/main/java/com/charity_hub/shared/infrastructure/Logger.java
0	64	src/main/java/com/charity_hub/shared/infrastructure/MongoDBConfig.java
32	0	src/main/java/com/charity_hub/shell/controllers/AuthController.java
43	0	src/main/java/com/charity_hub/shell/controllers/authconfig/JWTPayload.java
84	0	src/main/java/com/charity_hub/shell/controllers/authconfig/JwtAuthFilter.java
40	0	src/main/java/com/charity_hub/shell/controllers/authconfig/JwtVerifier.java
62	0	src/main/java/com/charity_hub/shell/controllers/authconfig/SecurityConfig.java
128	0	src/main/java/com/charity_hub/shell/controllers/common/AccessTokenPayload.java
25	0	src/main/java/com/charity_hub/shell/controllers/common/DeferredResults.java
